flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,CF1,composition,grade_fraction,grade_source
"('ecoinvent-3.12-biosphere', 'd8f3a308-175d-5582-a747-5e950f1881bf')",Lithium hexafluorophosphate,"('water',)",kilogram,Lithium hexafluorophosphate,F6LiP,151.9,1.0399732403373147e-14,"{'F': 0.7504147465437788, 'Li': 0.045694535878867674, 'P': 0.20391046741277155}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'e3d162ec-57fc-5780-9911-95804ff9e372')",Disulfoton,"('air', 'non-urban air or from high stacks')",kilogram,Disulfoton,C8H19O2PS3,274.4,1.9159367578280422e-15,"{'C': 0.3501749271137026, 'H': 0.06979591836734694, 'O': 0.11661078717201168, 'P': 0.11287900874635569, 'S': 0.35056486880466475}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '800ec8a5-e0f2-4f47-8c43-dd93962cc0da')",Lithium carbonate,"('air',)",kilogram,Lithium carbonate,CLi2O3,73.9,2.852466321310869e-14,"{'C': 0.16253044654939106, 'Li': 0.1878484438430311, 'O': 0.6494857916102841}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '5d0058e0-ad1b-4c15-b0ff-a665bb04154f')",Phosphoric acid,"('air', 'urban air close to ground')",kilogram,Phosphoric acid,H3O4P,97.995,5.3648966411349025e-15,"{'H': 0.030858717281493954, 'O': 0.6530537272309812, 'P': 0.31607735088524924}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'ada3ecfe-8244-4389-bcce-e83ca4f66e09')",Zinc II,"('air', 'non-urban air or from high stacks')",kilogram,Zinc,Zn,65.4,1.0836576745711442e-13,{'Zn': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', '2f51ebba-3a19-5986-8a35-6167082f0c37')",Cobalt oxide,"('water',)",kilogram,Cobalt oxide,Co3O4,240.797,1.4278822804069439e-12,"{'Co': 0.7342242635913239, 'O': 0.2657674306573587}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '5aea53fb-c3f6-56dd-a1d1-0adb73fe2cc4')",Methidathion,"('air', 'non-urban air or from high stacks')",kilogram,Methidathion,C6H11N2O4PS3,302.3,1.7391103087926388e-15,"{'C': 0.23839232550446576, 'H': 0.03667879589811446, 'N': 0.09266953357591795, 'O': 0.21169698974528614, 'P': 0.10246113132649685, 'S': 0.3182103870327489}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'c89873de-cd23-4323-a948-f5cfeebd2fc9')",Nickel II,"('air', 'low population density, long-term')",kilogram,Nickel,Ni,58.693,9.066741688482605e-14,{'Ni': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', '7e66a41c-d311-4949-bdd8-eef09cdcfa47')",Copper ion,"('soil', 'agricultural')",kilogram,Copper,Cu,63.55,1.231243333335009e-14,{'Cu': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', '442511cc-a98b-4242-9229-5736cb9a9399')",Molybdenum VI,"('water', 'surface water')",kilogram,Molybdenum,Mo,95.95,1.6532043483883647e-13,{'Mo': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', '75cae1e8-ad6b-56ae-8268-51fb243e8bcb')",Fosetyl-Al,"('water', 'surface water')",kilogram,Fosetyl-Al,C6H15AlO9P3+3,351.08,9.428415133402684e-15,"{'C': 0.20526945425544038, 'H': 0.04306710721203145, 'Al': 0.07685427822718469, 'O': 0.4101372906460067, 'P': 0.2646747180129885}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'cfb0d9b8-5b41-5a30-982d-8137120edd74')",Aluminium phosphide,"('water',)",kilogram,Aluminium phosphide,AlP,57.9553,3.897248210843503e-14,"{'Al': 0.46556570322300117, 'P': 0.534446375051117}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'bb3ae4d9-105a-505a-8fbb-ceb863088641')",Ethephon,"('soil',)",kilogram,Ethephon,C2H6ClO3P,144.49,3.638542780455497e-15,"{'C': 0.16625371998062147, 'H': 0.04185756799778531, 'Cl': 0.245366461346806, 'O': 0.33218215793480516, 'P': 0.2143677763167001}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '094310bb-49db-5b2d-ae1b-e7b4ffca1d03')",Trisodium phosphate,"('air',)",kilogram,Trisodium phosphate,Na3O4P,163.941,3.2068429883190582e-15,"{'Na': 0.42070012992479, 'O': 0.3903599465661427, 'P': 0.18893382375366746}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'cfad7a84-37a4-535f-a6fa-2a8c1d3a1276')",Bromophos-ethyl,"('soil', 'forestry')",kilogram,Bromophos-ethyl,C10H12BrCl2O3PS,394.0,1.3343478333705958e-15,"{'C': 0.3048477157360406, 'H': 0.0307005076142132, 'Br': 0.20280203045685277, 'Cl': 0.17996446700507615, 'O': 0.12181979695431472, 'P': 0.07861421319796955, 'S': 0.08138324873096446}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '4970ab0b-e340-5e28-a117-2ed2e61edb41')",Ethoprop,"('soil',)",kilogram,Ethoprop,C8H19O2PS2,242.3,2.1697608186050957e-15,"{'C': 0.3965662401981015, 'H': 0.07904250928600907, 'O': 0.13205943045810978, 'P': 0.1278332645480809, 'S': 0.2646718943458522}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '92ce8595-607a-547a-ba4b-9afe6908de28')",Copper(II) chloride,"('air', 'non-urban air or from high stacks')",kilogram,Copper(II) chloride,Cl2Cu,134.45,5.819307464492859e-15,"{'Cl': 0.5273782075120864, 'Cu': 0.4726366679062849}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'd75bdfae-385c-5082-aa89-e0ebdb26e33c')",Fenitrothion,"('soil', 'agricultural')",kilogram,Fenitrothion,C9H12NO5PS,277.24,1.8963102234454433e-15,"{'C': 0.38991126821526473, 'H': 0.04363006781128264, 'N': 0.05052301255230125, 'O': 0.28854061462992353, 'P': 0.11172269513778675, 'S': 0.11565791372096378}",1.0,dissipation
