Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source,Mineral,f_mineral_me,Delta_g_Mineral,Mineral_Fraction,CF_Mineral,xi_Mineral,xf_Mineral,xm_Mineral,ERC,CF2
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '79df5650-160a-4ab7-a14f-cc8162877f4a')",Cu,6.596109550557157e-11,5.051239485345601e-11,0.0036,4.432476000006032e-17,5.788103565684491e-17,parsed_crude_ore_multi,Chalcopyrite,2.8793103448275863,1.4544086104357163e-10,0.01036551724137931,1.276247400001737e-16,0.01286923124177145,0.01286923109633059,0.8086409056778144,8.468603515272383e-08,8.468603515272383e-08
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '79df5650-160a-4ab7-a14f-cc8162877f4a')",Mo,6.596109550557157e-11,1.544870065211555e-11,8.2e-05,1.3556275656784592e-17,5.788103565684491e-17,parsed_crude_ore_multi,Molybdenite,1.6700000000000004,2.5799330089032973e-11,0.00013694000000000003,2.2638980346830273e-17,0.0023389070923680233,0.002338907066568693,0.9176761103880936,2.226039738532232e-07,2.226039738532232e-07
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')",Cu,6.372912461053813e-11,2.5197354905049116e-11,0.0036,4.432476000006032e-17,1.1210613828398327e-16,parsed_crude_ore_multi,Chalcopyrite,2.8793103448275863,7.255100464040005e-11,0.01036551724137931,1.276247400001737e-16,0.01286923124177145,0.012869231169220445,0.8086409056778144,4.224439375697887e-08,4.224439375697887e-08
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')",Mo,6.372912461053813e-11,3.8531769705489014e-11,0.00041,6.778137828392296e-17,1.1210613828398327e-16,parsed_crude_ore_multi,Molybdenite,1.6700000000000004,6.434805540816667e-11,0.0006847000000000001,1.1319490173415135e-16,0.0023389070923680233,0.0023389070280199677,0.9176761103880936,5.55213817124227e-07,5.55213817124227e-07
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')",Cu,5.350390310573124e-11,3.800569688228111e-11,0.0027,3.3243570000045246e-17,4.6799845656829836e-17,parsed_crude_ore_multi,Chalcopyrite,2.8793103448275863,1.0943019619553353e-10,0.007774137931034483,9.571855500013028e-17,0.01286923124177145,0.012869231132341254,0.8086409056778144,6.371810159414645e-08,6.371810159414645e-08
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')",Mo,5.350390310573124e-11,1.5498206223450134e-11,8.2e-05,1.3556275656784592e-17,4.6799845656829836e-17,parsed_crude_ore_multi,Molybdenite,1.6700000000000004,2.588200439316173e-11,0.00013694000000000003,2.2638980346830273e-17,0.0023389070923680233,0.002338907066486019,0.9176761103880936,2.2331696580211e-07,2.2331696580211e-07
"Copper, Cu 0.38%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '5afa470c-ab8c-4ec3-8a18-5c0bed973571')",Cu,4.9058530200543207e-11,4.9058530200543207e-11,0.0038,4.678724666673034e-17,4.678724666673034e-17,parsed_crude_ore_multi,Chalcopyrite,2.8793103448275863,1.4125473350846062e-10,0.010941379310344827,1.3471500333351666e-16,0.01286923124177145,0.012869231100516717,0.8086409056778144,8.224861810768548e-08,8.224861810768548e-08
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ed5ace5c-a203-4816-b33b-9fe0c5f0f519')",Cu,4.082004496563243e-11,4.880508965966562e-12,0.0076,9.357449333346067e-17,7.826468616581387e-16,parsed_crude_ore_multi,Chalcopyrite,2.8793103448275863,1.4052499953731308e-11,0.021882758620689655,2.694300066670333e-16,0.01286923124177145,0.01286923122771895,0.8086409056778144,8.182405484686538e-09,8.182405484686538e-09
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ed5ace5c-a203-4816-b33b-9fe0c5f0f519')",Ni,4.082004496563243e-11,3.593953599966587e-11,0.0076,6.89072368324678e-16,7.826468616581387e-16,parsed_crude_ore_multi,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,1.054538907027877e-10,0.022299942028985505,2.0218781404494827e-15,0.010558917414268303,0.010558917308814413,0.0803628113054402,8.360485055257236e-09,8.360485055257236e-09
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')",Cu,3.88435726715164e-11,2.5887687783457448e-11,0.0022,2.70873533333702e-17,4.064362899015479e-17,parsed_crude_ore_multi,Chalcopyrite,2.8793103448275863,7.453868723857576e-11,0.00633448275862069,7.799289666677281e-17,0.01286923124177145,0.012869231167232762,0.8086409056778144,4.340172880274905e-08,4.340172880274905e-08
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')",Mo,3.88435726715164e-11,1.2955884888058946e-11,8.2e-05,1.3556275656784592e-17,4.064362899015479e-17,parsed_crude_ore_multi,Molybdenite,1.6700000000000004,2.1636327763058446e-11,0.00013694000000000003,2.2638980346830273e-17,0.0023389070923680233,0.0023389070707316956,0.9176761103880936,1.8668435245506351e-07,1.8668435245506351e-07
"Iron, 72% in magnetite, 14% in crude ore, in ground","('ecoinvent-3.4-biosphere', '99c56f25-9ebb-4e6a-a3e2-e4dc61e9d697')",Fe,3.602220394917773e-11,3.602220394917773e-11,0.14,5.995716028383183e-16,5.995716028383183e-16,parsed_crude_ore,Hematite,1.0,3.602220394917773e-11,0.14,5.995716028383183e-16,1.1174432879201284,1.117443287884106,0.95,-0.0,-0.0
