Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')",Mo,3.88435726715164e-11,1.2955884888058946e-11,8.2e-05,1.3556275656784592e-17,4.064362899015479e-17,parsed_crude_ore_multi
"Iron, 72% in magnetite, 14% in crude ore, in ground","('ecoinvent-3.4-biosphere', '99c56f25-9ebb-4e6a-a3e2-e4dc61e9d697')",Fe,3.602220394917773e-11,3.602220394917773e-11,0.14,5.995716028383183e-16,5.995716028383183e-16,parsed_crude_ore
"Aluminium, 24% in bauxite, 11% in crude ore, in ground","('ecoinvent-3.4-biosphere', '8bc65fca-548d-4831-b102-391bbdd6bc8c')",Al,3.419513314412507e-11,3.419513314412507e-11,0.11,7.064790343896179e-15,7.064790343896179e-15,parsed_crude_ore
"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'c8f18160-6937-4bb9-ad0c-dffa942ca41e')",Cu,1.1373832221562843e-11,1.0012803821209198e-11,0.008100000000000001,9.973071000013574e-17,1.1328698565692033e-16,parsed_crude_ore_multi
"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'c8f18160-6937-4bb9-ad0c-dffa942ca41e')",Mo,1.1373832221562843e-11,1.3610284003536447e-12,8.2e-05,1.3556275656784592e-17,1.1328698565692033e-16,parsed_crude_ore_multi
"Zinc, Zn 3.1%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', 'c3b2ba62-b158-47b1-8e1e-e76156e5292a')",Zn,9.488535452122163e-12,9.488535452122163e-12,0.031,3.359338791170547e-15,3.359338791170547e-15,parsed_crude_ore_multi
"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'eda28c96-8899-4d84-bf18-35c3f1de518e')",Mo,7.2679845347725445e-12,4.394353571123793e-12,0.00041,6.778137828392296e-17,1.1210613828398327e-16,parsed_crude_ore_multi
"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'eda28c96-8899-4d84-bf18-35c3f1de518e')",Cu,7.2679845347725445e-12,2.8736309636487522e-12,0.0036,4.432476000006032e-17,1.1210613828398327e-16,parsed_crude_ore_multi
"Nickel, Ni 2.5E+0%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', 'f09c3144-a268-4bed-8ca2-63005b6ef75f')",Ni,4.03090024984464e-12,4.03090024984464e-12,0.025,2.2666854221206516e-15,2.2666854221206516e-15,parsed_crude_ore_multi
"Stibnite, in ground","('ecoinvent-3.4-biosphere', '3e0034cd-21d6-4582-9fbf-09c26edd05df')",Sb,3.9172418899879766e-12,3.9172418899879766e-12,0.7168678245510746,1.565214743110908e-11,1.565214743110908e-11,stoichiometric
