Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
Chromium III,"('ecoinvent-3.12-biosphere', 'd9c23a8d-e7bf-4f70-8d22-b9ad8a653204')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium III,"('ecoinvent-3.12-biosphere', '6b29d83a-c43c-484c-8e73-474a8a22d71e')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium III,"('ecoinvent-3.12-biosphere', '2a5ed451-12a2-47db-b4dc-fa0bfbc01d79')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium III,"('ecoinvent-3.12-biosphere', '1c87de06-e58f-4684-a54c-d29f1a251a87')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium III,"('ecoinvent-3.12-biosphere', 'e7881581-21b3-4f5c-bd63-6b0684b5e712')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium III,"('ecoinvent-3.12-biosphere', '4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium III,"('ecoinvent-3.12-biosphere', 'd98f0ec0-bf19-4c90-a457-a8593dec497f')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium III,"('ecoinvent-3.12-biosphere', 'e142b577-e934-4085-9a07-3983d4d92afb')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium III,"('ecoinvent-3.12-biosphere', 'e0336c9b-a0ff-4ae3-b8bb-ca1e46bbbc11')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium III,"('ecoinvent-3.12-biosphere', '591de726-f2c7-43ba-8e22-15fd08acc8dc')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium III,"('ecoinvent-3.12-biosphere', '7705f0e1-5b14-44f4-b330-1245b5c7fc08')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Antimony ion,"('ecoinvent-3.12-biosphere', '7805afa2-d93b-40bb-b841-325b98aec824')",Sb,1.9060877506786598e-10,1.9060877506786598e-10,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony ion,"('ecoinvent-3.12-biosphere', '34b96163-a3df-4bc1-8224-e2a9fe01b23f')",Sb,1.9060877506786598e-10,1.9060877506786598e-10,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony ion,"('ecoinvent-3.12-biosphere', '43b29ad9-26dd-4838-b931-6216e55a0120')",Sb,1.9060877506786598e-10,1.9060877506786598e-10,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
