Flow Key,Flow Name,Cleaned Name,Molecular Formula,Molecular Weight,CF1,composition,grade_source
"('ecoinvent-3.4-biosphere', '30fed59d-d722-482f-be4f-f3d93bdd2527')","Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground",multi_element_ore,multi,,5.788103565684491e-17,"{'Mo': 8.2e-05, 'Cu': 0.0036}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '5afa470c-ab8c-4ec3-8a18-5c0bed973571')","Copper, Cu 0.38%, in mixed ore, in ground",multi_element_ore,multi,,4.678724666673034e-17,{'Cu': 0.0038},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'a64e65fe-3c33-44f1-bd2d-ab7fac07653f')","Phosphorus, 18% in apatite, 12% in crude ore, in ground",Phosphorus,P,30.973762,2.0368039504669003e-15,{'P': 0.12},parsed_crude_ore
"('ecoinvent-3.4-biosphere', '636a8446-9899-43a6-b4bf-213f25d69c88')","Pt, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground",multi_element_ore,multi,,3.9949409580727685e-17,"{'Pt': 4.8e-06, 'Pd': 2e-06, 'Rh': 2.4000000000000003e-07, 'Ni': 0.00037, 'Cu': 0.00052}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'ff741136-d6ee-444a-a15b-3b308e376db8')","Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore, in ground",multi_element_ore,multi,,6.594823477357711e-18,"{'Au': 1.1e-06, 'Ag': 4.2e-05}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'bc153c00-6c93-412f-aadc-750f2fc6f9c7')","Silver, 0.01% in crude ore, in ground",Silver,Ag,107.868,1.5701960660375505e-17,{'Ag': 0.0001},parsed_crude_ore
"('ecoinvent-3.4-biosphere', 'ef6dd09f-bddc-49b4-a207-dbaec2f07bb5')","Chromium, 25.5% in chromite, 11.6% in crude ore, in ground",Chromium,Cr,51.996,3.62831911250983e-14,{'Cr': 0.11599999999999999},parsed_crude_ore
"('ecoinvent-3.4-biosphere', 'c15f6c4d-bf7a-4a7c-91c6-53aad6a630a8')","Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In, in ground",multi_element_ore,multi,,6.280784264150202e-18,{'Ag': 4e-05},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '4df0eac4-44bb-46b6-b588-e3513a1ead2f')","Lead, Pb 3.6E-1%, in mixed ore, in ground",multi_element_ore,multi,,4.267891694899601e-16,{'Pb': 0.0036},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'd76320f7-6761-4864-92a6-660fa3453ffa')","Silver, Ag 4.2E-3%, Au 1.1E-4%, in ore, in ground",multi_element_ore,multi,,6.594823477357711e-18,"{'Ag': 4.2e-05, 'Au': 1.1e-06}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '9f9f1f14-6eee-4067-b4a5-80e75fc7b295')","Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground",Manganese,Mn,54.93804,9.208711405593519e-15,{'Mn': 0.142},parsed_crude_ore
"('ecoinvent-3.4-biosphere', '0d7f8b87-12f4-4e83-a5a2-854e2f2b47de')","Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground",multi_element_ore,multi,,2.479348455018202e-15,"{'Ni': 0.023, 'Pt': 2.5e-06, 'Pd': 7.2999999999999996e-06, 'Rh': 2.0000000000000002e-07, 'Cu': 0.032}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'cfaa80f4-8e19-4fd6-942a-eaea14812896')","Silver, Ag 9.7E-4%, in mixed ore, in ground",multi_element_ore,multi,,1.5230901840564239e-18,{'Ag': 9.7e-06},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '8bc65fca-548d-4831-b102-391bbdd6bc8c')","Aluminium, 24% in bauxite, 11% in crude ore, in ground",Aluminium,Al,26.981538,7.064790343896179e-15,{'Al': 0.11},parsed_crude_ore
"('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')","Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground",multi_element_ore,multi,,1.1210613828398327e-16,"{'Cu': 0.0036, 'Mo': 0.00041}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '4b8ac2cb-3fa6-4047-a9ab-183d9e63ccac')","Pd, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground",multi_element_ore,multi,,3.9949409580727685e-17,"{'Pd': 2e-06, 'Pt': 4.8e-06, 'Rh': 2.4000000000000003e-07, 'Ni': 0.00037, 'Cu': 0.00052}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '86c6e6cd-c2f5-4977-bad6-ce9cd48cf721')","Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground",multi_element_ore,multi,,7.826468616581387e-16,"{'Ni': 0.0076, 'Cu': 0.0076}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'ee540366-b970-46af-94d8-4c253ded5577')","Kaolinite, 24% in crude ore, in ground",Kaolinite,Al2H4O9Si2,258.16,3.22205549301079e-15,"{'Al': 0.05016795785559342, 'H': 0.0037483731019522775, 'O': 0.13386210102262164, 'Si': 0.05222063836380539}",parsed_crude_ore
"('ecoinvent-3.4-biosphere', 'd6c7644f-0d7c-4bb3-b8bb-686ebede951e')","Gold, Au 5.4E-4%, Ag 1.5E-5%, in ore, in ground",multi_element_ore,multi,,2.3552940990563256e-20,"{'Au': 5.4e-06, 'Ag': 1.5e-07}",parsed_crude_ore_multi
