flow,amount,categories,unit
"Vanadium, ion",1113012.0024355298,"('water', 'ground-')",kilogram
Acetic acid,1102950.225213071,"('air', 'urban air close to ground')",kilogram
"VOC, volatile organic compounds, unspecified origin",1085213.6087949418,"('water', 'surface water')",kilogram
Scandium,1074796.686245951,"('air', 'low population density, long-term')",kilogram
Antimony,1057451.1607656851,"('water', 'ground-')",kilogram
Ethane,1014878.590034616,"('air', 'urban air close to ground')",kilogram
"Zinc, ion",1007508.7715519626,"('water', 'ocean')",kilogram
Barium,997794.4065910166,"('air', 'non-urban air or from high stacks')",kilogram
Silver,952190.4202233531,"('air', 'low population density, long-term')",kilogram
Heptane,913225.1474651882,"('air', 'urban air close to ground')",kilogram
Formaldehyde,876135.5597115137,"('air', 'urban air close to ground')",kilogram
Silicon,875629.3138421162,"('water', 'ground-')",kilogram
Copper,873799.5721903956,"('air',)",kilogram
"Cadmium, ion",863856.6376541364,"('water', 'ground-')",kilogram
Sodium,861714.0309030702,"('air', 'low population density, long-term')",kilogram
Toluene,857947.7459010745,"('air', 'urban air close to ground')",kilogram
"Methane, non-fossil",851717.2367775636,"('air', 'urban air close to ground')",kilogram
Calcium,841674.1961903902,"('air', 'low population density, long-term')",kilogram
Strontium,822242.1915268229,"('water', 'ground-')",kilogram
Calcium,788942.2628117651,"('air', 'urban air close to ground')",kilogram
Cadmium,754526.7435240044,"('soil', 'agricultural')",kilogram
"Cadmium, ion",751687.3283919573,"('water',)",kilogram
Manganese,744794.7162358353,"('water', 'surface water')",kilogram
Lead,740879.2691454907,"('air', 'non-urban air or from high stacks')",kilogram
Zinc,740850.0812277739,"('air', 'non-urban air or from high stacks')",kilogram
Silicon,738073.5095108467,"('soil', 'agricultural')",kilogram
Ethanol,715312.2529606594,"('air', 'urban air close to ground')",kilogram
Cadmium,695501.0860796212,"('air', 'low population density, long-term')",kilogram
Molybdenum,656169.187426705,"('air', 'urban air close to ground')",kilogram
Toluene,644323.1937050278,"('air',)",kilogram
"Nickel, ion",627498.9156613665,"('water', 'surface water')",kilogram
Lead,617716.8007023684,"('water', 'surface water')",kilogram
"Silver, ion",600802.5353139073,"('water', 'ground-')",kilogram
Formaldehyde,592680.6863862125,"('air', 'non-urban air or from high stacks')",kilogram
Mercury,549539.2312651168,"('water', 'ground-')",kilogram
Iron,532003.3641129228,"('air', 'urban air close to ground')",kilogram
Methanol,527534.7280770818,"('air', 'urban air close to ground')",kilogram
Mercury,514619.3193839111,"('water',)",kilogram
Titanium,507126.34536818357,"('air', 'low population density, long-term')",kilogram
Molybdenum,477360.4842659458,"('air',)",kilogram
Benzene,462737.4586208497,"('air',)",kilogram
Molybdenum,459394.6116624289,"('air', 'non-urban air or from high stacks')",kilogram
"Zinc, ion",457744.5334733932,"('water', 'surface water')",kilogram
Carbonate,439272.4093909372,"('water', 'surface water')",kilogram
Ethene,436978.1236763835,"('air', 'urban air close to ground')",kilogram
Copper,429177.15321801614,"('soil', 'agricultural')",kilogram
"Copper, ion",421771.09359093726,"('water', 'surface water')",kilogram
Acetone,421457.45688317827,"('air', 'urban air close to ground')",kilogram
Toluene,396837.6062073746,"('water', 'surface water')",kilogram
Acetaldehyde,395322.8984682134,"('air', 'urban air close to ground')",kilogram
Zinc,395023.06406026526,"('air', 'urban air close to ground')",kilogram
Vanadium,373453.31363534875,"('soil', 'agricultural')",kilogram
Zinc,371303.49117284955,"('soil', 'agricultural')",kilogram
Barium,326705.98637598904,"('water', 'ocean')",kilogram
Manganese,310452.80862911546,"('air', 'low population density, long-term')",kilogram
Arsenic,306715.06861017406,"('air', 'urban air close to ground')",kilogram
Thallium,301512.7309106618,"('air', 'urban air close to ground')",kilogram
"Zinc, ion",291036.36348336295,"('water', 'ground-')",kilogram
Lead,286122.06173454307,"('air', 'low population density, long-term')",kilogram
Nickel,264582.7442621214,"('air', 'low population density, long-term')",kilogram
Antimony,260839.8963421817,"('air', 'non-urban air or from high stacks')",kilogram
Thallium,250857.64940726533,"('water', 'ground-')",kilogram
Benzene,246627.8403164261,"('water', 'surface water')",kilogram
Phenol,241443.77163388202,"('water', 'surface water')",kilogram
"Copper, ion",237926.30337733176,"('water', 'ground-')",kilogram
Iron,237083.63850375672,"('air',)",kilogram
Magnesium,236269.6466507829,"('air', 'non-urban air or from high stacks')",kilogram
Propene,233899.2647974296,"('air', 'urban air close to ground')",kilogram
Tin,225685.67350624013,"('air', 'non-urban air or from high stacks')",kilogram
Chromium,221431.7833228129,"('air', 'non-urban air or from high stacks')",kilogram
Scandium,214925.53027485128,"('water', 'ground-')",kilogram
Acetic acid,205519.87998975453,"('air', 'non-urban air or from high stacks')",kilogram
Silicon,192146.90053340982,"('air', 'low population density, long-term')",kilogram
Chromium VI,191316.41779468465,"('water', 'surface water')",kilogram
Barium,189930.7226682464,"('air', 'low population density, long-term')",kilogram
"Carbon monoxide, from soil or biomass stock",188784.0131677815,"('air', 'non-urban air or from high stacks')",kilogram
"Copper, ion",178261.89597122013,"('water',)",kilogram
Lead,169707.48634022102,"('air', 'urban air close to ground')",kilogram
Carbon disulfide,169546.67506925002,"('air', 'non-urban air or from high stacks')",kilogram
Cobalt,163645.4720893633,"('water',)",kilogram
Tin,163193.55256176082,"('air',)",kilogram
Thallium,161230.48665204053,"('air',)",kilogram
Strontium,155173.49364383635,"('water',)",kilogram
Propene,151611.129191539,"('air', 'non-urban air or from high stacks')",kilogram
"Nickel, ion",151329.38449517215,"('water',)",kilogram
Strontium,149753.07211834998,"('air', 'non-urban air or from high stacks')",kilogram
Zinc,138510.79819420775,"('air', 'low population density, long-term')",kilogram
Manganese,133726.72864723994,"('air', 'urban air close to ground')",kilogram
Zinc,132815.91462877387,"('air',)",kilogram
Manganese,131758.72687230803,"('air', 'non-urban air or from high stacks')",kilogram
"Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114",126717.93794015425,"('air', 'non-urban air or from high stacks')",kilogram
Aluminium,126378.99928636271,"('air', 'non-urban air or from high stacks')",kilogram
"Cadmium, ion",123889.8311394014,"('water', 'ocean')",kilogram
"Benzene, ethyl-",122933.51862526155,"('air', 'urban air close to ground')",kilogram
Platinum,118601.71955963004,"('air', 'non-urban air or from high stacks')",kilogram
Titanium,110778.37167188148,"('soil', 'agricultural')",kilogram
Cadmium,101971.11209599349,"('air',)",kilogram
