Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total
Phosphate,"('ecoinvent-3.4-biosphere', '329fc7d8-4011-4327-84e4-34ff76f0e42d')",P,4.598818007412829e-07,4.598818007412829e-07,0.3261416642975224,5.53572191877536e-15,5.53572191877536e-15
Phosphate,"('ecoinvent-3.4-biosphere', '3aaf9017-0d8a-42aa-9a60-cbc39e994e73')",P,4.598818007412829e-07,4.598818007412829e-07,0.3261416642975224,5.53572191877536e-15,5.53572191877536e-15
Phosphate,"('ecoinvent-3.4-biosphere', '1727b41d-377e-43cd-bc01-9eaba946eccb')",P,4.598818007412829e-07,4.598818007412829e-07,0.3261416642975224,5.53572191877536e-15,5.53572191877536e-15
Phosphate,"('ecoinvent-3.4-biosphere', '490b267b-f429-4d9a-ac79-224e37fb4d58')",P,4.598818007412829e-07,4.598818007412829e-07,0.3261416642975224,5.53572191877536e-15,5.53572191877536e-15
Phosphate,"('ecoinvent-3.4-biosphere', 'c8791f3c-3c4a-4278-91c0-483797d14da2')",P,4.598818007412829e-07,4.598818007412829e-07,0.3261416642975224,5.53572191877536e-15,5.53572191877536e-15
"Zinc, ion","('ecoinvent-3.4-biosphere', '2c7be02c-791f-4fef-b231-b90321bbeb30')",Zn,3.8782460262978504e-07,3.8782460262978504e-07,1.0,1.0836576745711442e-13,1.0836576745711442e-13
"Zinc, ion","('ecoinvent-3.4-biosphere', 'bdce3a7c-e008-4391-be26-285f71a02453')",Zn,3.8782460262978504e-07,3.8782460262978504e-07,1.0,1.0836576745711442e-13,1.0836576745711442e-13
"Zinc, ion","('ecoinvent-3.4-biosphere', '2195d86f-e4c8-4e86-9f18-b5b065b1df7e')",Zn,3.8782460262978504e-07,3.8782460262978504e-07,1.0,1.0836576745711442e-13,1.0836576745711442e-13
"Zinc, ion","('ecoinvent-3.4-biosphere', '7e769b3e-03fb-4b53-be15-85a910dcfea9')",Zn,3.8782460262978504e-07,3.8782460262978504e-07,1.0,1.0836576745711442e-13,1.0836576745711442e-13
"Zinc, ion","('ecoinvent-3.4-biosphere', '541b633c-17a3-4047-bce6-0c0e4fdb7c10')",Zn,3.8782460262978504e-07,3.8782460262978504e-07,1.0,1.0836576745711442e-13,1.0836576745711442e-13
"Nickel, ion","('ecoinvent-3.4-biosphere', '23cb10a4-6228-4ce4-9fb5-7043bc31faec')",Ni,2.4978632336411486e-07,2.4978632336411486e-07,1.0,9.066741688482605e-14,9.066741688482605e-14
"Nickel, ion","('ecoinvent-3.4-biosphere', '9798359e-a3ee-4362-a038-23a188582c6e')",Ni,2.4978632336411486e-07,2.4978632336411486e-07,1.0,9.066741688482605e-14,9.066741688482605e-14
