flow,amount,categories,unit
"Cadmium, ion",1633617.1200597128,"('water',)",kilogram
Iron,1607447.0687992626,"('air', 'urban air close to ground')",kilogram
Magnesium,1457788.371263325,"('air', 'low population density, long-term')",kilogram
Formaldehyde,1422238.4361285311,"('air', 'non-urban air or from high stacks')",kilogram
Antimony,1375351.9140636139,"('water', 'ground-')",kilogram
Thallium,1338166.602835254,"('air', 'urban air close to ground')",kilogram
Barium,1313608.197848106,"('soil', 'industrial')",kilogram
"Copper, ion",1298701.9918790637,"('water', 'ground-')",kilogram
Thallium,1247359.6775655658,"('water', 'ground-')",kilogram
Ethene,1115169.2419285357,"('air', 'urban air close to ground')",kilogram
"Iron, ion",1075569.4266606092,"('water', 'surface water')",kilogram
Nickel,1053950.9363662105,"('air', 'urban air close to ground')",kilogram
Ethane,963789.5132182984,"('air', 'urban air close to ground')",kilogram
Cobalt,941101.6413972673,"('air', 'low population density, long-term')",kilogram
Chromium VI,921057.5358790421,"('water', 'surface water')",kilogram
Toluene,917698.2847182624,"('air',)",kilogram
Cobalt,914757.8627624844,"('water',)",kilogram
Cadmium,914035.453689018,"('air', 'urban air close to ground')",kilogram
Hexane,904738.4233550914,"('air', 'urban air close to ground')",kilogram
Strontium,867400.5671226697,"('water',)",kilogram
Strontium,841896.5880692159,"('air', 'non-urban air or from high stacks')",kilogram
Calcium,830758.4216041837,"('soil', 'industrial')",kilogram
Iron,826370.4836791407,"('air',)",kilogram
Carbon,750370.1393533623,"('soil', 'agricultural')",kilogram
Mercury,749391.3433203264,"('water',)",kilogram
Benzene,738604.5836529535,"('air',)",kilogram
Strontium,725562.8422499021,"('water', 'surface water')",kilogram
Vanadium,706633.8382233704,"('air', 'low population density, long-term')",kilogram
Calcium,676992.7527085375,"('soil', 'agricultural')",kilogram
"Titanium, ion",671569.0092440334,"('water', 'surface water')",kilogram
"Carbon monoxide, non-fossil",671321.2390303885,"('air', 'non-urban air or from high stacks')",kilogram
Cyanide,661157.5384442747,"('air', 'non-urban air or from high stacks')",kilogram
Tin,608794.8931077328,"('air',)",kilogram
"Silver, ion",575417.5153569977,"('water', 'surface water')",kilogram
Propene,567490.4830810984,"('air', 'non-urban air or from high stacks')",kilogram
"Cadmium, ion",553838.9964620713,"('water', 'surface water')",kilogram
Hydrogen carbonate,515688.28712742473,"('water', 'ocean')",kilogram
Benzene,503391.89129849605,"('air', 'urban air close to ground')",kilogram
"Nickel, ion",495741.78778798645,"('water', 'surface water')",kilogram
Iron,492554.75899945886,"('soil', 'agricultural')",kilogram
Mercury,445176.3944114189,"('water', 'surface water')",kilogram
Sodium,419878.4452272386,"('air', 'urban air close to ground')",kilogram
"VOC, volatile organic compounds, unspecified origin",418077.3434940276,"('water', 'surface water')",kilogram
Copper,413272.2813919804,"('air', 'urban air close to ground')",kilogram
Heptane,411075.3957003131,"('air', 'urban air close to ground')",kilogram
Scandium,405544.0105609702,"('water', 'ground-')",kilogram
"Zinc, ion",404747.5838779147,"('water', 'ocean')",kilogram
Thallium,391547.93087954837,"('water',)",kilogram
"Aldehydes, unspecified",363445.32436560414,"('air', 'non-urban air or from high stacks')",kilogram
"Arsenic, ion",356389.62366766913,"('water',)",kilogram
Toluene,351614.253747661,"('air', 'urban air close to ground')",kilogram
"Copper, ion",345256.7545843699,"('water',)",kilogram
Barium,332625.8329837254,"('water', 'ground-')",kilogram
Tungsten,322933.58943538094,"('air', 'low population density, long-term')",kilogram
"Carbon monoxide, from soil or biomass stock",312278.93692232494,"('air', 'non-urban air or from high stacks')",kilogram
"PAH, polycyclic aromatic hydrocarbons",310418.5285055178,"('air', 'non-urban air or from high stacks')",kilogram
Silicon,309018.7048065686,"('air', 'urban air close to ground')",kilogram
Barium,289828.2671112891,"('air',)",kilogram
Chromium,289782.3678631784,"('air', 'non-urban air or from high stacks')",kilogram
"Nickel, ion",281228.21364639245,"('water',)",kilogram
Copper,265831.9858225199,"('air', 'low population density, long-term')",kilogram
Propene,265269.9051057478,"('air', 'urban air close to ground')",kilogram
Arsenic,264807.4102339926,"('air', 'urban air close to ground')",kilogram
Zinc,261696.31237440446,"('air',)",kilogram
Manganese,250670.61905610617,"('soil', 'agricultural')",kilogram
"Copper, ion",244600.4351707393,"('water', 'surface water')",kilogram
"Zinc, ion",240472.72726483014,"('water', 'surface water')",kilogram
Beryllium,237232.91963614835,"('water', 'ground-')",kilogram
Molybdenum,232514.2139446178,"('air', 'urban air close to ground')",kilogram
Potassium,231908.64521417112,"('air',)",kilogram
Aluminium,229659.60376319403,"('soil',)",kilogram
Carbon disulfide,228684.0185286009,"('air', 'non-urban air or from high stacks')",kilogram
Arsenic,227889.56081975446,"('air', 'low population density, long-term')",kilogram
"Methane, monochloro-, R-40",220652.59211989513,"('air', 'non-urban air or from high stacks')",kilogram
Tin,220081.4387990247,"('air', 'non-urban air or from high stacks')",kilogram
Zinc,211369.94226059254,"('soil',)",kilogram
Potassium,210914.5348164845,"('soil',)",kilogram
Potassium,210914.5348164845,"('water', 'ground-')",kilogram
Mercury,209435.1973073113,"('air', 'low population density, long-term')",kilogram
Manganese,204502.65784370847,"('water', 'surface water')",kilogram
