flow,amount,categories,unit
Ethephon,-1.2313388902208964,"('soil', 'agricultural')",kilogram
Chlorpyrifos,0.9095599981364421,"('soil', 'agricultural')",kilogram
Mancozeb,0.7635950857795715,"('water', 'ground-')",kilogram
Lithium hexafluorophosphate,0.6739936308861442,"('water',)",kilogram
Glyphosate,0.649122737282519,"('soil', 'forestry')",kilogram
Mancozeb,0.2324750698863446,"('water',)",kilogram
Uranium,0.22661341571371177,"('air',)",kilogram
Copper oxychloride,0.1896706230826056,"('soil', 'forestry')",kilogram
Chromium III,0.17944990178853243,"('air', 'low population density, long-term')",kilogram
Chlorpyrifos,0.13492849827398654,"('air', 'non-urban air or from high stacks')",kilogram
Acephate,0.11800407793953718,"('soil', 'forestry')",kilogram
Maneb,0.10388474147011428,"('soil', 'agricultural')",kilogram
Phorate,0.09267951202137718,"('soil', 'agricultural')",kilogram
Malathion,-0.07573092826810869,"('soil', 'agricultural')",kilogram
Copper oxychloride,0.0679562232559573,"('water',)",kilogram
Ethoprop,0.05509564616275486,"('soil', 'agricultural')",kilogram
Acephate,0.03403700086798016,"('water', 'ground-')",kilogram
Phosphate,0.02887995711041153,"('water',)",kilogram
Glyphosate,0.028810949789851308,"('water',)",kilogram
Phosphorus trichloride,0.026925539379601706,"('air', 'urban air close to ground')",kilogram
Glyphosate,0.021294111894049537,"('water', 'ground-')",kilogram
Phosphorus pentachloride,0.02054538262736111,"('water',)",kilogram
Lead II,0.018573792985438403,"('air', 'lower stratosphere + upper troposphere')",kilogram
Diazinon,0.01751350327364205,"('soil', 'agricultural')",kilogram
Dimethoate,0.016073760078343227,"('soil', 'agricultural')",kilogram
Copper oxide,0.014751676020253613,"('soil', 'agricultural')",kilogram
Copper ion,0.012335879365437242,"('air', 'lower stratosphere + upper troposphere')",kilogram
Chlorpyrifos,0.010059126240422553,"('soil', 'forestry')",kilogram
Phosmet,0.008375426778490288,"('soil', 'agricultural')",kilogram
Glufosinate,0.00810074946121456,"('soil', 'agricultural')",kilogram
Cupric hydroxide,0.007111667456236553,"('soil', 'agricultural')",kilogram
Zinc II,0.006279440595036011,"('air', 'lower stratosphere + upper troposphere')",kilogram
Azinphos-methyl,0.0044310635719933015,"('soil', 'agricultural')",kilogram
Phosphorus pentafluoride,0.0038835069072060604,"('air',)",kilogram
Cupric chloride dihydrate,0.003571071123759093,"('soil', 'agricultural')",kilogram
Chromium VI,0.003391710758362462,"('soil',)",kilogram
Acephate,0.0031055460491480062,"('water',)",kilogram
Phosphine,0.0021122973093565733,"('air', 'urban air close to ground')",kilogram
Copper oxide,0.0016016607155727779,"('air', 'non-urban air or from high stacks')",kilogram
Phosphorus oxychloride,0.0010504477635113105,"('water',)",kilogram
Cupric hydroxide,0.000625259777388372,"('air', 'non-urban air or from high stacks')",kilogram
Terbufos,0.00042163993087525326,"('soil', 'agricultural')",kilogram
Nickel II,0.0002928659404110102,"('air', 'lower stratosphere + upper troposphere')",kilogram
Ethephon,-0.0002637364992596638,"('air', 'non-urban air or from high stacks')",kilogram
Cu-HDO,0.00022244571681134023,"('water',)",kilogram
Glyphosate,0.00019277727825270656,"('water', 'surface water')",kilogram
Tebupirimfos,0.00014504515911787933,"('soil', 'agricultural')",kilogram
Chlorpyrifos,8.451765293333159e-05,"('water',)",kilogram
Phosphorous acid,6.340709416374177e-05,"('soil', 'agricultural')",kilogram
Monopotassium phosphite,6.242389062773323e-05,"('soil', 'agricultural')",kilogram
Chlorpyrifos,5.8281500141047046e-05,"('water', 'ground-')",kilogram
Trichlorfon,4.5176819185517545e-05,"('soil', 'agricultural')",kilogram
Chromium III,6.278657805448365e-06,"('air', 'lower stratosphere + upper troposphere')",kilogram
Copper oxide,5.876899058020575e-06,"('soil', 'forestry')",kilogram
Mancozeb,2.9306109253468177e-06,"('water', 'surface water')",kilogram
Cupric hydroxide,2.2942365145356184e-06,"('soil', 'forestry')",kilogram
Ethephon,-6.298937206480113e-07,"('soil', 'forestry')",kilogram
Parathion,4.6108931133012246e-07,"('soil', 'agricultural')",kilogram
Glufosinate,-3.3799268283112203e-07,"('air', 'non-urban air or from high stacks')",kilogram
Copper oxide,2.0265168662114737e-07,"('water', 'surface water')",kilogram
Phosphoric acid,1.8832089721682194e-07,"('air', 'urban air close to ground')",kilogram
Chlorpyrifos methyl,1.7846933975551895e-07,"('air', 'non-urban air or from high stacks')",kilogram
Profenofos,1.5021157747292803e-07,"('soil', 'agricultural')",kilogram
Cupric hydroxide,7.911160696271e-08,"('water', 'surface water')",kilogram
Oxydemeton-methyl,7.704112204835976e-08,"('soil', 'agricultural')",kilogram
Ethephon,-2.1720473225151453e-08,"('water', 'surface water')",kilogram
Phosphoric acid,1.484266869513759e-08,"('air', 'non-urban air or from high stacks')",kilogram
Phosphorus trichloride,1.3053625807614759e-08,"('air',)",kilogram
Chlorpyrifos,8.466017850053864e-09,"('water', 'surface water')",kilogram
Copper oxychloride,5.1487681628741845e-09,"('water', 'surface water')",kilogram
Chlorpyrifos methyl,8.736472317451424e-10,"('soil', 'forestry')",kilogram
Glufosinate,-8.072431058027889e-10,"('soil', 'forestry')",kilogram
Phosphorus trichloride,3.075211681126208e-10,"('water',)",kilogram
Chlorpyrifos methyl,3.012576654076195e-11,"('water', 'surface water')",kilogram
Glufosinate,-2.7835970553967568e-11,"('water', 'surface water')",kilogram
Trisodium phosphate,-9.053482302416153e-26,"('air',)",kilogram
Phosphoric acid,-4.765009183157929e-26,"('water',)",kilogram
Tin ion,-1.945441931135942e-29,"('water', 'ocean')",kilogram
Diphenyltin,-1.2367459002551297e-30,"('water', 'ocean')",kilogram
Dichlorvos,-9.940928972124395e-31,"('soil', 'agricultural')",kilogram
Trioctyltin,-5.167212771826772e-31,"('water', 'ocean')",kilogram
Triphenyltin,-2.868023878482028e-31,"('water', 'ocean')",kilogram
Dibutyltin,-2.2683393007257e-32,"('water', 'ocean')",kilogram
Ethephon,-1.012906509378119e-37,"('water', 'ground-')",kilogram
