Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
Antimony,"('ecoinvent-3.4-biosphere', 'f4cf8d5c-f030-4b55-a3af-e3c20b855ee8')",Sb,3.5558308718535735e-06,3.5558308718535735e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', '43b29ad9-26dd-4838-b931-6216e55a0120')",Sb,3.5558308718535735e-06,3.5558308718535735e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
"Iron, ion","('ecoinvent-3.4-biosphere', '9b6d6f07-ebc6-447d-a3c0-f2017d77d852')",Fe,3.159281395360754e-06,3.159281395360754e-06,1.0,9.645225823667623e-15,9.645225823667623e-15,dissipation
"Iron, ion","('ecoinvent-3.4-biosphere', '33fd8342-58e7-45c9-ad92-0951c002c403')",Fe,3.159281395360754e-06,3.159281395360754e-06,1.0,9.645225823667623e-15,9.645225823667623e-15,dissipation
"Iron, ion","('ecoinvent-3.4-biosphere', 'de444dc0-5964-4501-8367-50ba53bfc6b9')",Fe,3.159281395360754e-06,3.159281395360754e-06,1.0,9.645225823667623e-15,9.645225823667623e-15,dissipation
"Iron, ion","('ecoinvent-3.4-biosphere', '7c335b9c-a403-47a8-bb6d-2e7d3c3a230e')",Fe,3.159281395360754e-06,3.159281395360754e-06,1.0,9.645225823667623e-15,9.645225823667623e-15,dissipation
"Iron, ion","('ecoinvent-3.4-biosphere', '2c9a7182-37c8-4777-a37a-9a007c3edb2f')",Fe,3.159281395360754e-06,3.159281395360754e-06,1.0,9.645225823667623e-15,9.645225823667623e-15,dissipation
Phosphate,"('ecoinvent-3.4-biosphere', '3aaf9017-0d8a-42aa-9a60-cbc39e994e73')",P,2.701820346031967e-06,2.701820346031967e-06,0.3261416642975224,5.53572191877536e-15,5.53572191877536e-15,dissipation
Phosphate,"('ecoinvent-3.4-biosphere', '490b267b-f429-4d9a-ac79-224e37fb4d58')",P,2.701820346031967e-06,2.701820346031967e-06,0.3261416642975224,5.53572191877536e-15,5.53572191877536e-15,dissipation
Phosphate,"('ecoinvent-3.4-biosphere', 'c8791f3c-3c4a-4278-91c0-483797d14da2')",P,2.701820346031967e-06,2.701820346031967e-06,0.3261416642975224,5.53572191877536e-15,5.53572191877536e-15,dissipation
Phosphate,"('ecoinvent-3.4-biosphere', '329fc7d8-4011-4327-84e4-34ff76f0e42d')",P,2.701820346031967e-06,2.701820346031967e-06,0.3261416642975224,5.53572191877536e-15,5.53572191877536e-15,dissipation
Phosphate,"('ecoinvent-3.4-biosphere', '1727b41d-377e-43cd-bc01-9eaba946eccb')",P,2.701820346031967e-06,2.701820346031967e-06,0.3261416642975224,5.53572191877536e-15,5.53572191877536e-15,dissipation
"Zinc, ion","('ecoinvent-3.4-biosphere', '2c7be02c-791f-4fef-b231-b90321bbeb30')",Zn,2.0889253475866704e-06,2.0889253475866704e-06,1.0,1.0836576745711442e-13,1.0836576745711442e-13,dissipation
"Zinc, ion","('ecoinvent-3.4-biosphere', '2195d86f-e4c8-4e86-9f18-b5b065b1df7e')",Zn,2.0889253475866704e-06,2.0889253475866704e-06,1.0,1.0836576745711442e-13,1.0836576745711442e-13,dissipation
"Zinc, ion","('ecoinvent-3.4-biosphere', '7e769b3e-03fb-4b53-be15-85a910dcfea9')",Zn,2.0889253475866704e-06,2.0889253475866704e-06,1.0,1.0836576745711442e-13,1.0836576745711442e-13,dissipation
"Zinc, ion","('ecoinvent-3.4-biosphere', '541b633c-17a3-4047-bce6-0c0e4fdb7c10')",Zn,2.0889253475866704e-06,2.0889253475866704e-06,1.0,1.0836576745711442e-13,1.0836576745711442e-13,dissipation
"Zinc, ion","('ecoinvent-3.4-biosphere', 'bdce3a7c-e008-4391-be26-285f71a02453')",Zn,2.0889253475866704e-06,2.0889253475866704e-06,1.0,1.0836576745711442e-13,1.0836576745711442e-13,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', '7880e65c-0321-4295-ba55-3186ad36e489')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', '765546a9-b056-4d27-ad14-2f016511bdcb')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', '6f0b8b7c-3888-4174-b7e3-916d42d678ee')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', '46e63323-cffd-4c46-829b-5f006b50fa9b')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', '01056d4b-f9b0-4dfc-b8d9-8407c8376efb')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', 'd96403bf-902e-4b7a-8ffd-32fe09e4017f')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', '0ace7678-a181-48e8-8728-d912a8b56c57')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', '97e498ec-f323-4ec6-bcc0-d8a4c853bae3')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', '9c3bd678-1b2f-4b95-a245-d5c8a3fe326b')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', '2baa4381-b781-4f5e-90de-508b0fa3fd1f')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', '2e0c9efa-d55c-49db-8be3-0376d5921ff4')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', 'ff65658c-2d39-44a2-b23e-7ec3c644f064')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', 'e0401210-0377-4670-84af-12247ca20bed')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
Aluminium,"('ecoinvent-3.4-biosphere', '39555a26-d28b-425f-993f-e8770ab7d9cf')",Al,1.4188444960624337e-06,1.4188444960624337e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,dissipation
"Nickel, ion","('ecoinvent-3.4-biosphere', '23cb10a4-6228-4ce4-9fb5-7043bc31faec')",Ni,1.4153010543596384e-06,1.4153010543596384e-06,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
"Nickel, ion","('ecoinvent-3.4-biosphere', '9f69cb8e-51fe-447b-a1ac-4da74de8ebe4')",Ni,1.4153010543596384e-06,1.4153010543596384e-06,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
"Nickel, ion","('ecoinvent-3.4-biosphere', 'e030108f-2125-4bcb-a73b-ad72130fcca3')",Ni,1.4153010543596384e-06,1.4153010543596384e-06,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
"Nickel, ion","('ecoinvent-3.4-biosphere', '9798359e-a3ee-4362-a038-23a188582c6e')",Ni,1.4153010543596384e-06,1.4153010543596384e-06,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
"Nickel, ion","('ecoinvent-3.4-biosphere', '6ec6cdaa-5a01-46d4-b716-1905e56690ea')",Ni,1.4153010543596384e-06,1.4153010543596384e-06,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Antimony,"('ecoinvent-3.4-biosphere', 'b2dc8668-86de-4207-b20e-dc81dea63c98')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', '83cf77ca-867b-4eef-b0f0-78d71b3d91d5')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', '183f9856-03ab-464d-9366-8ef62077b510')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', 'fa39136e-1ef6-43c1-af68-104da104568d')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', 'c49fb4cd-eed0-4438-9052-9612473cdbae')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', '5df5cb9f-812c-4ce8-ab1c-df6ab4d31900')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', '7805afa2-d93b-40bb-b841-325b98aec824')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', '2b2369a4-26bb-4b18-8479-752fdf7a5e7f')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', '77927dac-dea3-429d-a434-d5a71d92c4f7')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', '49803ad0-9ca2-4507-a5ea-f152d16c929d')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', '34b96163-a3df-4bc1-8224-e2a9fe01b23f')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', '3ea5684a-6d64-4f96-8c09-1d90f997c9d4')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', 'f4cf8d5c-f030-4b55-a3af-e3c20b855ee8')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', '43b29ad9-26dd-4838-b931-6216e55a0120')",Sb,1.1034577840386659e-06,1.1034577840386659e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
