flow_key,cf
"('ecoinvent-3.4-biosphere', '99ee393d-4bd1-4cc8-b0a0-d956865fb7bf')",3.601298831052053
"('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')",292.0
"('ecoinvent-3.4-biosphere', 'fcee6eab-e906-4ddf-bc14-2b131b937893')",654.0
"('ecoinvent-3.4-biosphere', '38eff837-5465-47a9-a1c9-e1edd70922ef')",23.54330484330484
"('ecoinvent-3.4-biosphere', '752d138f-3723-42c1-bf5c-ca5316809c4c')",136.0
"('ecoinvent-3.4-biosphere', 'd0696f95-6cb3-453b-b849-c99ba9c90c28')",1.2609427035775969
"('ecoinvent-3.4-biosphere', '8c888d2b-d608-4dac-bad5-1c2a17050838')",553000.0
"('ecoinvent-3.4-biosphere', '7c954971-4bce-41db-9e8b-2b2f049539d7')",348.0
"('ecoinvent-3.4-biosphere', 'a45cd247-3532-4e27-bddc-b519fdb5e08f')",627.0
"('ecoinvent-3.4-biosphere', '4df0eac4-44bb-46b6-b588-e3513a1ead2f')",37.0
"('ecoinvent-3.4-biosphere', 'c8f18160-6937-4bb9-ad0c-dffa942ca41e')",292.0
"('ecoinvent-3.4-biosphere', '0b9159dd-305d-4add-802f-f7b780ed0289')",6.68764677891855
"('ecoinvent-3.4-biosphere', 'bc153c00-6c93-412f-aadc-750f2fc6f9c7')",7370.0
"('ecoinvent-3.4-biosphere', 'c15f6c4d-bf7a-4a7c-91c6-53aad6a630a8')",7370.0
"('ecoinvent-3.4-biosphere', '8508a83c-6a37-4159-93cc-21a2645390ab')",292.0
"('ecoinvent-3.4-biosphere', 'f09c3144-a268-4bed-8ca2-63005b6ef75f')",167.0
"('ecoinvent-3.4-biosphere', '5324b57a-96f1-4dc3-9dc5-544881960f4f')",111.5681603412144
"('ecoinvent-3.4-biosphere', '5514ccd2-469f-4074-9905-529154e7f742')",908.0
"('ecoinvent-3.4-biosphere', 'e2c5109f-9a68-4828-b824-eb2193864803')",145000.0
"('ecoinvent-3.4-biosphere', 'd80610f2-df83-4e2a-9dc3-f74fced6577f')",348.7641784037559
"('ecoinvent-3.4-biosphere', 'cc6a1abb-b123-4ca6-8f16-38209df609be')",5.4584289577131955
"('ecoinvent-3.4-biosphere', '8bc65fca-548d-4831-b102-391bbdd6bc8c')",627.0
"('ecoinvent-3.4-biosphere', '68be4a67-89e0-4cfe-a089-fa8706de230e')",4490000.0
"('ecoinvent-3.4-biosphere', '79df5650-160a-4ab7-a14f-cc8162877f4a')",292.0
"('ecoinvent-3.4-biosphere', '669ab0eb-c020-4b98-bfe4-e0989013121a')",8980000.0
"('ecoinvent-3.4-biosphere', '5f1d740e-804d-4080-8ef9-aeaa0d8e1115')",483000.0
"('ecoinvent-3.4-biosphere', 'adfff256-b19a-4083-9783-ffbc7a7cb437')",7370.0
"('ecoinvent-3.4-biosphere', '60b67dea-a332-4d8d-968b-df8f3df6088a')",553000.0
"('ecoinvent-3.4-biosphere', 'c73e75dc-c02d-4192-ab43-faf29c119fae')",8.378146357726287
"('ecoinvent-3.4-biosphere', '02e8658e-3c88-404c-865d-4d4934661ea6')",10900.0
"('ecoinvent-3.4-biosphere', 'f7519ca9-5ffc-41c3-a33e-806da82cfc0e')",208.96596284480097
"('ecoinvent-3.4-biosphere', 'b569dc97-52fe-4e39-9627-183b1002c287')",292.0
"('ecoinvent-3.4-biosphere', '909bc093-18b2-4a7e-8131-16f68eebc193')",577.0
"('ecoinvent-3.4-biosphere', 'a2a4f255-ad47-4cf8-b6a9-e10885d61407')",4.598224339784694
"('ecoinvent-3.4-biosphere', 'eaa3e9d4-68d6-4267-a7a5-48b141c3861e')",7370.0
