Flow_Key,Flow_Name,Metals,CF2_contributions,Total_CF2
"('ecoinvent-3.4-biosphere', '1ad3b0dc-fce4-416b-9851-f29d12cce55a')",Dichromate,"['Cr', 'Cr']","[7.486106489599197e-13, 1.1372128830066226e-14]",7.599827777899859e-13
"('ecoinvent-3.4-biosphere', '1c87de06-e58f-4684-a54c-d29f1a251a87')","Chromium, ion","['Cr', 'Cr', 'Cr', 'Cr']","[3.313451762385327e-10, 1.496885463054909e-10, 7.861469095634345e-11, 2.423123314235444e-12]",5.620715368146025e-10
"('ecoinvent-3.4-biosphere', '1e904267-caa3-40e6-a3a0-fc104489770b')",Cobalt,"['Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co']","[0.007154641003198375, 3.4826374160002265e-05, 2.0046309995420126e-05, 1.382641383382112e-05, 7.835856863741669e-06, 3.0033155371482486e-06, 1.8190833562591712e-06, 1.6972251773407556e-07, 4.357123533762736e-08, 3.872968439854489e-08, 3.43643687466556e-08, 3.3782713904201983e-08]",0.007236318527464889
"('ecoinvent-3.4-biosphere', '1f3c2297-d652-468d-82e8-4fd59bf5b5b8')",Molybdenum,"['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo']","[0.003231073455814193, 0.0013418741825008658, 0.0005079790252256694, 3.370317626584932e-05, 1.621754593898552e-05, 1.1798195048432954e-05, 1.1354155641168432e-05, 7.470875265075243e-07, 3.924111794954129e-07, 3.493787714142763e-07, 1.8978723535792473e-08]",0.005155507592636117
"('ecoinvent-3.4-biosphere', '2195d86f-e4c8-4e86-9f18-b5b065b1df7e')","Zinc, ion","['Zn', 'Zn', 'Zn', 'Zn', 'Zn']","[8.157791099764034e-06, 9.186106367051087e-08, 4.1735513242456396e-08, 2.653565687471985e-08, 3.0256421638428065e-09]",8.320948975715563e-06
"('ecoinvent-3.4-biosphere', '21c257b2-57ce-4a6e-b4bd-40f0f75f310f')","Silver, ion","['Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[0.01168210747502194, 0.0076225537510817105, 0.0009194775349510171, 0.00043751147513704296, 3.116872883691981e-05]",0.020692818965028628
"('ecoinvent-3.4-biosphere', '237ca6bc-2f0a-4416-a0e3-bd512f038f2e')",Copper,"['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']","[1.015244249781796e-06, 6.885610498138122e-07, 4.909436531418457e-07, 2.8192528080221205e-07, 1.3847080783198375e-07, 2.180630302794069e-08, 1.9702376385039705e-09, 0.0]",2.6389215820380944e-06
"('ecoinvent-3.4-biosphere', '23cb10a4-6228-4ce4-9fb5-7043bc31faec')","Nickel, ion","['Ni', 'Ni', 'Ni', 'Ni', 'Ni']","[8.874379689738952e-05, 2.771584265637959e-07, 1.210255587803388e-07, 2.918686655773516e-08, 1.2479803733584084e-09]",8.917241572966473e-05
"('ecoinvent-3.4-biosphere', '2460f868-54a9-404c-bec8-c809a44ae72c')",Manganese,"['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[1.3289052009582949e-06, 1.1511768515340385e-08, 1.0626568080295657e-08, 2.7726712995733672e-09, 1.1557326859325849e-09, 4.978287916631244e-10, 4.905024751963496e-10, 3.3264323355054624e-10, 5.911235176862889e-11, 4.39357169821555e-11, 3.157458293057896e-11, 9.161122884256023e-13]",1.3564284548038166e-06
"('ecoinvent-3.4-biosphere', '2718482b-8399-442e-b89a-52fbcc22d2e6')",Lead,"['Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb']","[2.1589848604387306e-07, 3.492808650786776e-08, 2.9121702813167473e-08, 1.3488966751132535e-08, 8.000705190895332e-09, 3.474273574598441e-09, 1.1142618048635126e-09, 1.0884710090244658e-09, 1.0225321355976852e-09, 1.6361735064703774e-10, 1.196302921551017e-10, 9.319335295334105e-11, 0.0]",3.085139268267758e-07
