0,1,2,3
"('ecoinvent-3.12-biosphere', 'c67be924-e68d-4bc1-9dd9-25f33a6cad34')","Hydrocarbons, aromatic","('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', '588356df-f3b4-43a7-a76e-c47175a7eae0')","Carbon monoxide, non-fossil","('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.12-biosphere', '51d957c7-0e5e-5161-a158-83c1bccab53b')",Sodium trichloroacetate,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', 'aa24aae9-35f6-51ea-bfdf-094f08073031')",Piperalin,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '78af83fc-63ad-5d05-8a7c-89811abefe13')",Phosalone,"('water', 'surface water')",kilogram
"('ecoinvent-3.12-biosphere', 'b66104c3-8096-4c8d-abbc-cae04770d8d1')",Trimethylchlorosilane,"('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.12-biosphere', '65741fb7-292c-530e-8a2d-78b8cf319147')",Pencycuron,"('water', 'surface water')",kilogram
"('ecoinvent-3.12-biosphere', '21e46cb8-6233-4c99-bac3-c41d2ab99498')","Particulate Matter, < 2.5 um","('air',)",kilogram
"('ecoinvent-3.12-biosphere', '009a3889-0dc4-5a08-87c3-aa416b2683c7')",Oxadixyl,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '9ac3ad2c-f574-5e3e-a432-05b075bd21b4')",Triticonazole,"('air',)",kilogram
"('ecoinvent-3.12-biosphere', '9c08496f-7895-44f9-8686-fe3154392da4')","Transformation, from lake, artificial","('natural resource', 'land')",square meter
"('ecoinvent-3.12-biosphere', '98a9652c-92e1-5f18-bcec-946d530f911d')","1,2-Dibromoethane","('soil', 'agricultural')",kilogram
"('ecoinvent-3.12-biosphere', 'd40b90a8-c469-41ec-b5ea-f80386859a82')",Ammonium carbonate,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', 'b37294bd-947d-4f35-b9e6-3eb259c05ff5')","Acidity, unspecified","('water',)",kilogram
"('ecoinvent-3.12-biosphere', '17441086-4a73-5457-b47b-361b77bb1de6')",Monolinuron,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', 'c033b016-cc86-5d6e-87df-afd6f61d26f9')",Dienochlor,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', 'a6b4d530-0446-5708-8555-be8efbae491f')",2-(Octylthio)ethanol,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', '1fd0e2f0-a025-5b8b-beb1-8748c539ee58')",Fluorodifen,"('air',)",kilogram
"('ecoinvent-3.12-biosphere', 'cd2c49d6-c214-5eae-8521-6ee735e4171d')",Pyridalyl,"('air',)",kilogram
"('ecoinvent-3.12-biosphere', '89721e33-60fa-4447-bfc6-2f27d44a7893')",Cadmium II,"('soil', 'industrial')",kilogram
"('ecoinvent-3.12-biosphere', '15cfc784-a719-4230-ad2e-f4104d56c427')","Nitrogen, organic bound","('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.12-biosphere', '9e689d4d-35b4-4c1c-b61f-2d915695bd2a')",Iodine-129,"('water', 'surface water')",kilo Becquerel
"('ecoinvent-3.12-biosphere', '1e06369e-26a4-5ded-be5b-33ea2d8b45dc')",Cyclethrin,"('water', 'surface water')",kilogram
"('ecoinvent-3.12-biosphere', 'bffe0780-434e-547b-84c8-4a0f8f99c1a6')",Ethirimol,"('water', 'surface water')",kilogram
"('ecoinvent-3.12-biosphere', 'b9bc9427-5808-4e9e-8c78-e7098563afb4')","Transformation, from inland waterbody, unspecified","('natural resource', 'land')",square meter
"('ecoinvent-3.12-biosphere', '98b6e89d-8a4f-5b63-b595-8bcfe10e9b43')",Cyanazine,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', 'b7cd268b-1b52-45f1-91fe-cd51bf59d21d')",Fipronil,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.12-biosphere', 'd7fcde62-0b5e-5c21-a0da-a051ebd9121e')",Difenoconazole,"('air',)",kilogram
"('ecoinvent-3.12-biosphere', '4dd6170f-7f7f-5f18-bd75-5addc9490222')",Ammonium acetate,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', '69326f71-43ab-53aa-95a7-6132095fc68b')",Dodine,"('water', 'surface water')",kilogram
"('ecoinvent-3.12-biosphere', 'efe7319b-a370-51d5-af2c-028e2fb5ff2a')",Sodium fluorosilicate,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', 'ffe3e89e-e0c1-4665-a6e5-2404c131fe32')",Antimony-125,"('air', 'low population density, long-term')",kilo Becquerel
"('ecoinvent-3.12-biosphere', 'b4393bbd-63c8-5053-abb9-d6c6a2921e36')",Flurtamone,"('water', 'surface water')",kilogram
