0,1,2,3
"('ecoinvent-3.4-biosphere', '9d508263-9cfd-444a-b1de-73f2bcf39c02')","Hydrocarbons, unspecified","('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', '626dd1d8-5355-40cb-8569-9c87c2c6ab18')","Hydrocarbons, chlorinated","('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.4-biosphere', 'c955fc32-da91-468e-8f65-5aca2c8aa4cc')",Paraffins,"('air',)",kilogram
"('ecoinvent-3.4-biosphere', '696e997b-bc1e-44c2-9145-e93163c97c61')",Paraffins,"('water', 'ocean')",kilogram
"('ecoinvent-3.4-biosphere', '57c27ba7-a61a-4932-8cd5-095c88ff0245')","BOD5, Biological Oxygen Demand","('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', 'c5de5e4d-85cf-4102-9ff1-5248d8928ba1')","1,4-Butanediol","('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', 'b0106679-8469-46f6-b989-559222745bd6')",Paraffins,"('water',)",kilogram
"('ecoinvent-3.4-biosphere', '045f7de9-60d5-4916-a504-5a1002a6e97e')",Xylene,"('water',)",kilogram
"('ecoinvent-3.4-biosphere', 'cec4a04d-562a-4a38-a98f-5fb3d07eea6b')","TOC, Total Organic Carbon","('water',)",kilogram
"('ecoinvent-3.4-biosphere', 'ad83a9b9-77ce-4a23-852d-d606ec7f8ffb')",Tralkoxydim,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.4-biosphere', '99e1284e-58fc-4652-bc24-b796b858b24e')","2,4-D ester","('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', 'd7e798b0-18c9-495e-a590-e3fc7d5491ba')","Carboxylic acids, unspecified","('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '20f74678-e826-4a98-a625-5b3e7bc7b9c1')","Fungicides, unspecified","('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', 'b1945566-c8ad-4d48-9135-c39eedde1e63')",Methyl amine,"('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', '16410099-57c2-4ad8-928a-d8ec91f1684f')",Paraffins,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', '1cde30ef-8a5b-46eb-9e7a-22a532fd6d2e')","Indeno(1,2,3-cd)pyrene","('water', 'ocean')",kilogram
"('ecoinvent-3.4-biosphere', '623ae1fb-a694-4327-9c6f-4ea35c536100')","Insecticides, unspecified","('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', '66020d27-7ae4-4e59-83a3-89214b72c40a')","Particulates, > 10 um","('air',)",kilogram
"('ecoinvent-3.4-biosphere', '34cbdeb9-6462-4938-a048-881a9f7e6978')","Hydrocarbons, aromatic","('air', 'lower stratosphere + upper troposphere')",kilogram
"('ecoinvent-3.4-biosphere', '3a53d5b5-bc5a-4c94-b507-f94169a58f23')",Methyl amine,"('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '5bb486eb-29db-4b80-bb79-c7023c0d5756')","Butylcarbamate, iodopropynyl","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', 'c8fc7ae6-3d48-4b1e-94a2-3b74dcd1dd2f')",Ethyl cellulose,"('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.4-biosphere', 'f40495b0-c9ac-44fb-81c7-84975030845d')","Herbicides, unspecified","('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', '6da40876-a6ab-459e-ba17-9a5e3d4da146')",Xylene,"('air', 'lower stratosphere + upper troposphere')",kilogram
"('ecoinvent-3.4-biosphere', 'fea16062-6c4b-4d59-be9e-e9b0b56ca9f0')","Hydrocarbons, aliphatic, alkanes, cyclic","('air', 'lower stratosphere + upper troposphere')",kilogram
"('ecoinvent-3.4-biosphere', '904546ce-acb5-4cc3-9dda-950c7dc54328')","Dibenz(a,h)anthracene","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', '91955aba-6ebc-4413-9342-f0298860b4aa')","BOD5, Biological Oxygen Demand","('water',)",kilogram
"('ecoinvent-3.4-biosphere', '737c3221-1456-4c6b-8605-6ac00dc88b2e')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('water',)",kilogram
"('ecoinvent-3.4-biosphere', 'dc08e010-0bf9-4a36-a1dd-779684c84b3b')","Suspended solids, unspecified","('water', 'ocean')",kilogram
"('ecoinvent-3.4-biosphere', '66f50b33-fd62-4fdd-a373-c5b0de7de00d')","Particulates, < 2.5 um","('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', '8734eb08-50cf-4f5a-8d1a-db76d38efe3c')","TOC, Total Organic Carbon","('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '7238734e-18ef-4759-914d-61e9ed11bd4e')",Methyl amine,"('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.4-biosphere', 'c8214570-8e2d-4ccf-b9d7-aabc17068d4e')",Xylene,"('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '6b9753b0-7284-4dd1-891b-01ba9f3fe5f7')","Chlorinated solvents, unspecified","('water', 'ocean')",kilogram
"('ecoinvent-3.4-biosphere', '9a891f6c-937c-4226-9702-4a552973ae3f')",Organic carbon,"('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', 'c1b91234-6f24-417b-8309-46111d09c457')",Nitrogen oxides,"('air',)",kilogram
"('ecoinvent-3.4-biosphere', '2a042136-80fd-4c1c-8996-65a7985497d3')",Cyclohexane (for all cycloalkanes),"('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.4-biosphere', '70d467b6-115e-43c5-add2-441de9411348')","BOD5, Biological Oxygen Demand","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', 'e385da6d-8c5a-42ff-a8fe-d18943079774')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air', 'lower stratosphere + upper troposphere')",kilogram
"('ecoinvent-3.4-biosphere', 'cfecebe1-1e13-458d-85bc-d40a9f934927')",Dissolved solids,"('water', 'surface water')",kilogram
