flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,parts,composition,fraction,grade_source
"('ecoinvent-3.4-biosphere', '56a24912-2d66-4124-87d8-f760c2fe3973')",Selenium,"('soil', 'industrial')",kilogram,Selenium,Se,78.97,"[['Se', 1]]",{'Se': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '0ace7678-a181-48e8-8728-d912a8b56c57')",Aluminium,"('water', 'ocean')",kilogram,Aluminium,Al,26.981538,"[['Al', 1]]",{'Al': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', 'c8896e68-6c78-43be-a31b-bc5d2307f40a')",Fenpropimorph,"('soil', 'agricultural')",kilogram,Fenpropimorph,C20H33NO,303.5,"[['C', 20], ['H', 33], ['N', 1], ['O', 1]]","{'C': 0.7914991762767709, 'H': 0.1096013179571664, 'N': 0.04615156507413509, 'O': 0.05271499176276771}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '2d17bb2f-2072-4a7a-a672-9550a97c14f5')",Ethylene glycol monoethyl ether,"('air', 'non-urban air or from high stacks')",kilogram,Ethylene glycol monoethyl ether,C4H10O2,90.12,"[['C', 4], ['H', 10], ['O', 2]]","{'C': 0.5331114070128716, 'H': 0.11185086551264979, 'O': 0.35505992010652465}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'b66104c3-8096-4c8d-abbc-cae04770d8d1')","Chlorosilane, trimethyl-","('air', 'low population density, long-term')",kilogram,Chlorosilane,ClH3Si,66.56,"[['Cl', 1], ['H', 3], ['Si', 1]]","{'Cl': 0.5326472355769231, 'H': 0.045432692307692306, 'Si': 0.4219651442307692}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '1f130425-11f9-4ec2-8d2f-d282acaacf5c')",Acetone,"('air', 'urban air close to ground')",kilogram,Acetone,C3H6O,58.08,"[['C', 3], ['H', 6], ['O', 1]]","{'C': 0.6204028925619836, 'H': 0.10413223140495868, 'O': 0.27546487603305786}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'f2663c0c-3618-4095-b8d8-9c3b5c7097fb')",Butene,"('air', 'lower stratosphere + upper troposphere')",kilogram,Butene,C4H8,56.11,"[['C', 4], ['H', 8]]","{'C': 0.8562466583496703, 'H': 0.14371769738014614}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'b0cfe7ff-d676-440b-a113-414b733daaf8')","Chlorosilane, trimethyl-","('air', 'lower stratosphere + upper troposphere')",kilogram,Chlorosilane,ClH3Si,66.56,"[['Cl', 1], ['H', 3], ['Si', 1]]","{'Cl': 0.5326472355769231, 'H': 0.045432692307692306, 'Si': 0.4219651442307692}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'd17f1c53-ff95-4005-9f1b-131ca9791cdb')",Chlorine,"('water', 'ground-')",kilogram,Chlorine,Cl2,70.9,"[['Cl', 2]]",{'Cl': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', 'e06e2e1e-ad87-49e2-a184-f2d1c48b7b46')","Methane, chlorotrifluoro-, CFC-13","('air',)",kilogram,Methane,CH4,16.043,"[['C', 1], ['H', 4]]","{'C': 0.7486754347690582, 'H': 0.2513245652309419}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '8e7d8523-2761-4eb1-a55a-958be4b0d23b')",Boron trifluoride,"('air',)",kilogram,Boron trifluoride,BF3,67.81,"[['B', 1], ['F', 3]]","{'B': 0.15941601533697095, 'F': 0.8404955021383277}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '5c7c5065-a636-4367-bf0a-8552609ffec7')",Dicamba,"('water', 'surface water')",kilogram,Dicamba,C8H6Cl2O3,221.03,"[['C', 8], ['H', 6], ['Cl', 2], ['O', 3]]","{'C': 0.43472831742297424, 'H': 0.02736280142967018, 'Cl': 0.3207980817083654, 'O': 0.21715151789349862}",1.0,dissipation
